name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Positron Lens,sw_positronlens,3,0.23,295000,1150,,1750,,125,5,38,,,,ENERGY,5000,,0,7,,,2,2,0,0,,1500,,,,"DO_NOT_CONSERVE, STRIKE","strike6, LR,no_bp_drop,no_sell",,Syndicate Refit,,Ionizer,Very Fast,,,Perfect,"Deals %s additional %s damage.
Hits %s the target, increasing damage taken from types matching this weapon by %s.
Debuff lasts for %s, doesn't stack.",100% | High Explosive | Ionizes | 20% | 10 seconds,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR-890 Black Hole Generator,sw_blackhole,3,0.1,450000,1000,2412.7,,,,2,45,,,,ENERGY,,3000,5.6,3.8,0.6,60,0,0,0,0,25000,,,,,DO_NOT_CONSERVE,"energy20, beam15, LR,no_bp,no_sell",,Superweapon,,Crowd Control,,,,Perfect,"Beam takes %s to fully charge dealing %s damage and then creating a spacetime anomaly with %s radius.
The anomaly lasts for %s and deals up to %s Fragmentation damage every second to everything within it's range, the closer a unit is to the center the more damage it takes, nearby objects are actively pulled toward the center and the effect grows stronger the closer they are to it.",5.5 seconds | 3000 | 2000 | 20 seconds | 1000,"Gravitational damage %s while Initial damage doesn't, %s energy prevents the Black Hole from forming.",bypasses shields | Insufficient,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFG-Ultra,sw_bfg,3,0.15,365000,1250,,12000,,200,4,40,,,,ENERGY,15000,,0.7,29.3,,,0,0,0,0,,350,,,,"DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","strike6, LR,no_bp,no_sell",,Superweapon,,Mass Devastation,Very Slow,,,,"Radioactive charge actively damages all nearby objects while passing by, dealing %s of it's damage as %s damage every second while in %s units range.",15% | Energy | 1000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Spear Accelerator,sw_lightspear,3,0.18,330000,1100,,3000,,125,5,40,,,,ENERGY,6000,,1.5,8.5,,,0,0,0,0,,2000,,,,"STRIKE,DO_NOT_CONSERVE,FIRE_WHEN_INEFFICIENT","kinetic22, energy18, strike16, LR, no_bp_drop,sw_lightspear,no_sell",,Superweapon,,Long Range,Very Fast,,,Perfect,"Projectile splits into %s shards each traveling outward in a straight line, Shards %s all targets and deal %s of damage every %s units across.",5 | Pierces | 50% | 150,Modifiers to weapon range and damage applies to secondary projectiles accordingly.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperpulse Repeater,sw_hyperpulse,3,0.2,290000,800,,200,,50,15,30,,,,ENERGY,180,,0,0.2,,,2,2,0,0,,1500,,,,"STRIKE, USE_VS_FRIGATES","energy20,no_bp_drop,no_sell",,Superweapon,,Rapid Suppression,Very Fast,None,Fast,Very Good,%s.,Cannot be disabled,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z950 Flash,sw_flash,3,0.12,380000,1250,,1250,,40,3,40,,,,ENERGY,6250,,0,10,,,0,0,0,0,,5000,,,,"DO_NOT_CONSERVE, STRIKE,FIRE_WHEN_INEFFICIENT","strike16, LR,no_bp_drop,sw_flash,no_sell",,Syndicate Refit,,Long Range,Supersonic,,,Perfect,"Projectile %s all targets.
Deals additional damage of %s equal to the current damage of the charge, damage scales with distance reaching %s at maximum range, Deals %s of damage every %s units across.
%s by Modifiers to projectile Speed.",Pierces | Every Damage type | 130% | 100% | 150 | Unaffected,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster Mine (Fast),sw_clustermine_fast,0,0,0,10000,,0,0,0,6,0,1,,,ENERGY,0,,0,11,,,0,0,0,0,,0,1250,35.5,50000,SYSTEM,no_bp_drop,,,,,,,,,,,,,,
Cluster Mine (Slow),sw_clustermine_slow,0,0,0,10000,,0,0,0,6,0,1,,,ENERGY,0,,0,11,,,0,0,0,0,,0,800,35.5,50000,SYSTEM,no_bp_drop,,,,,,,,,,,,,,
Light Splinter Accelerator,sw_lightsplinter,0,0,0,2000,,1500,,70,5,0,,,,ENERGY,3000,,1.5,8.5,,,0,0,0,0,,2500,,,,SYSTEM,no_bp_drop,,,,,Very Fast,,,Perfect,"Projectile %s all targets.
Deals %s damage every %s units across.
%s by Modifiers to projectile Speed.",Pierces | 100% | 150 | Unaffected,,,,
