name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Wall,swp_wall,Drone,Explorarium,burndrive,18,15000,1750,9000,10000,400,145,,25,20,5,3,6,2500,NONE,,0,0,0,,,0,0,200,100,10,10,7,375000,4,15,720,0.25,30,30,,,,,,,"SHIP_WITH_MODULES, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,4,,412
Solar,swp_solar,Droneship Battlecarrier,Remnant,plasmajets,30,20000,1400,30000,35000,1500,400,3,25,10,10,6,8,4000,OMNI,,180,0.4,0.7,,,0,0,250,200,10,20,7,750000,4,20,720,0.25,55,55,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",,0.5,2,4,,504
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,swp_cathedral_base,Base Structure,,,1,5000,1000,0,2500,100,0,,0,0,0,10,10,1250,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,840,0.25,0,0,,,,,,,"UNDER_PARENT, UNBOARDABLE, HIDE_IN_CODEX",module_no_status_bar,,1,2,4,,2100
,swp_cathedral_rear,Engine Module,,flarelauncher,1,15000,1200,10000,7000,350,120,,0,0,0,10,10,2500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,840,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,4,,2100
,swp_cathedral_gun_left,Gunnery Module,,ammofeed,1,8000,1200,6000,5000,250,90,,0,0,0,10,10,600,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,840,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,,2100
,swp_cathedral_gun_right,Gunnery Module,,ammofeed,1,8000,1200,6000,5000,250,90,,0,0,0,10,10,600,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,840,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,,2100
,swp_cathedral_fighter_left,Hangar Module,,reservewing,1,6000,1200,3000,2500,125,60,1,0,0,0,10,10,350,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,840,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,2,,2100
,swp_cathedral_fighter_right,Hangar Module,,reservewing,1,6000,1200,3000,2500,125,60,1,0,0,0,10,10,350,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,840,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,2,,2100
,swp_cathedral_front,Heavy Bastion,,damper,1,20000,1500,12000,8000,400,180,,0,0,0,10,10,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,840,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,4,,2100
,swp_wall_left,West Wall,,ammofeed,1,12000,1250,6000,6000,300,135,,30,20,10,5,5,1500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,720,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2100
,swp_wall_right,East Wall,,ammofeed,1,12000,1250,6000,6000,300,140,,30,20,10,5,5,1500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,720,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death-Ray,swp_boss_ray_drone,,,,,150,150,2000,,75,,,200,400,500,90,240,15,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxer,swp_boss_brawler,Mod-Gunship,Unique Midline,ammofeed,7,2250,500,3750,4063,325,50,,100,180,120,75,150,250,FRONT,,150,0.4,0.8,,,20,40,40,25,1,25,10,44000,8,12,300,0.25,6,9,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.4,2,2,,207
Hades,swp_boss_cerberus,Mod-Freighter,Unique Low Tech,burndrive,6,2750,450,2250,2500,200,55,1,100,100,75,60,120,325,OMNI,,90,0.5,1.2,,,30,50,100,60,1,60,10,52000,8,12,240,0.25,6,9,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.3,2,2,,213
Salamander,swp_boss_lasher_r,Mod-Frigate,Unique Low Tech,emp,6,3000,650,2750,2750,220,45,,100,100,80,55,80,225,NONE,,,,,,,25,50,40,25,1,25,10,44000,8,12,240,0.25,7,10,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.4,2,2,,204
Undine,swp_boss_lasher_b,Mod-Frigate,Unique High Tech,displacer,7,2000,350,3750,3750,300,45,,140,120,100,65,100,200,OMNI,,120,0.4,0.8,,,25,50,40,25,1,25,10,44000,8,12,240,0.25,7,10,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.4,2,2,,204
Phantom,swp_boss_shade,Phase Mod-Frigate,Unique High Tech,emp,12,1200,400,3500,3750,300,50,,165,120,100,60,120,250,PHASE,swp_boss_cloak,,,,0.02,0.1,10,15,15,40,1,40,10,94000,8,15,180,0.25,13,19,,,,,,,"HIDE_IN_CODEX, PHASE","no_autofit, no_drop, no_bp_drop, no_dealer",,0.5,2,2,,211
Tormentor,swp_boss_afflictor,Phase Mod-Frigate,Unique High Tech,entropyamplifier,13,1000,350,4000,5000,400,65,,165,120,100,60,120,250,PHASE,swp_boss_cloak,,,,0.02,0.1,5,10,25,40,1,40,10,95000,8,15,180,0.25,13,19,,,,,,,"HIDE_IN_CODEX, PHASE","no_autofit, no_drop, no_bp_drop, no_dealer",,0.5,2,2,,210
Royco,swp_boss_excelsior,Phase Mod-Superfrigate,Unique Imperium,swp_phaseshuntdrive,17,1250,200,5000,625,50,45,,150,150,125,80,240,150,PHASE,swp_excelsiorphase,,,,0,-0.25,1,5,15,30,1,30,11,190000,8,30,180,0.25,24,36,,,,,,,"HIDE_IN_CODEX, PHASE","no_autofit, no_drop, no_bp_drop, no_dealer",,0.75,2,2,,226
Phillipshead,swp_boss_hammerhead,Mod-Destroyer,Unique Midline,ammofeed,13,5500,600,9000,8333,500,120,,80,50,40,30,45,500,FRONT,,300,0.4,0.8,,,75,125,75,60,2,30,9,125000,5,12,360,0.25,14,21,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.5,2,3,,300
Fracture,swp_boss_sunder,Mod-Destroyer,Unique Midline,highenergyfocus,14,5000,400,8000,10000,600,120,,95,90,70,35,35,400,FRONT,,360,0.4,1,,,60,80,60,50,2,25,9,130000,5,15,300,0.25,14,21,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.5,2,3,,301
Carpal,swp_boss_tarsus,Mod-Freighter,Unique Low Tech,burndrive,9,6500,600,3500,4167,250,70,,40,30,20,20,10,600,OMNI,,120,0.5,1,,,50,70,300,100,2,50,9,77000,5,20,420,0.25,8,12,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.5,2,3,,306
Gorgon,swp_boss_medusa,Mod-Destroyer,Unique High Tech,displacer,14,3500,400,7000,10000,600,110,,130,150,90,50,100,350,OMNI,,360,0.3,0.6,,,35,50,50,40,2,20,9,165000,5,20,300,0.25,20,30,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.7,2,3,,309
Pony,swp_boss_mule,Mod-Freighter,Unique Low Tech,entropyamplifier,13,6000,750,4000,4167,250,75,1,60,40,30,20,15,550,OMNI,,120,0.4,1,,,60,80,200,100,2,50,9,135000,5,10,420,0.25,13,19,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.5,2,3,,310
Clymene,swp_boss_phaeton,Mod-Tanker,Unique Low Tech,burndrive,11,4000,600,7000,5000,300,80,,70,40,20,25,25,600,OMNI,,120,0.4,1,,,30,40,50,600,3,200,9,130000,5,20,540,0.25,11,16,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.75,3,4,,311
Euryale,swp_boss_euryale,Phase Mod-Destroyer,Unique High Tech,entropyamplifier,19,3000,700,8000,10000,600,105,,100,90,60,40,100,500,PHASE,swp_boss_cloak,,,,0.02,0.08,35,50,50,40,2,20,9,240000,5,20,300,0.25,30,45,,,,,,,"HIDE_IN_CODEX, PHASE","no_autofit, no_drop, no_bp_drop, no_dealer",,0.7,2,3,,309
Elder Orb,swp_boss_beholder,Mod-Destroyer,Unique High Tech,swp_boss_drone_death_ray,18,4500,750,7000,6667,400,90,,70,60,60,20,60,450,FRONT,,180,0.4,0.8,,,45,60,75,40,2,20,9,165000,5,15,300,0.25,18,27,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.5,2,3,,309
Raptor,swp_boss_falcon,Mod-Cruiser,Unique Midline,maneuveringjets,14,7000,1200,11000,11000,550,125,,100,80,60,30,40,850,FRONT,,270,0.4,0.8,,,125,180,90,100,3,33,8,235000,4,12,480,0.25,19,28,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.5,2,3,,400
Dawnstar,swp_boss_aurora,Mod-Cruiser,Unique High Tech,swp_timeaccelerator,20,10000,850,16000,18000,900,180,,85,60,40,30,40,2000,OMNI,,180,0.5,0.8,,,100,200,120,120,3,40,8,480000,4,20,420,0.25,40,60,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.6,2,3,,405
Apex,swp_boss_eagle,Mod-Cruiser,Unique Midline,swp_punisherjets,18,8000,1000,14000,12000,600,170,,60,50,30,15,20,1200,FRONT,,270,0.4,0.8,,,150,250,150,120,3,40,8,365000,3,15,480,0.25,30,45,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.5,2,3,,401
Emperor,swp_boss_dominator,Mod-Cruiser,Unique Low Tech,damper,20,12000,1600,15000,14000,700,210,,30,20,10,12,12,2500,FRONT,,150,0.5,1,,,200,250,100,100,5,20,8,390000,4,15,540,0.25,32,48,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.4,2,3,,404
Lucifer,swp_boss_doom,Phase Mod-Cruiser,Unique High Tech,mine_strike,22,8000,1550,13000,18000,900,160,,75,55,40,20,25,1400,PHASE,swp_boss_cloak,,,,0.02,0.06,50,100,150,150,3,50,8,540000,3,15,360,0.25,45,67,,,,,,,"HIDE_IN_CODEX, PHASE","no_autofit, no_drop, no_bp_drop, no_dealer",,0.5,2,3,,406
Dominator (LP),swp_boss_dominator_luddic_path,Mod-Cruiser,Unique Luddic Path,burndrive,16,12000,1550,10000,10000,500,200,,30,20,10,12,12,2250,FRONT,,150,0.5,1,,,200,300,150,150,5,30,8,360000,4,12,540,0.25,30,40,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.4,2,3,,404
Frankenstein,swp_boss_frankenstein,Mod-Cruiser,Unique Low Tech,damper,20,12000,1500,12000,10000,500,155,,50,25,25,10,15,2500,OMNI,,120,0.4,1,,,200,300,120,120,5,24,8,460000,4,15,540,0.25,35,52,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.6,2,3,,417
Iliad,swp_boss_odyssey,Mod-Battlecruiser,Unique High Tech,microburn,27,11000,1100,20000,30000,1200,295,2,60,30,20,10,10,3000,OMNI,,180,0.25,0.8,,,700,900,400,300,10,30,7,835000,4,20,660,0.25,52,78,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.6,2,4,,505
Leviathan,swp_boss_atlas,Mod-Superfreighter,Unique Low Tech,reservewing,20,15000,500,8000,10000,400,195,4,20,4,2,2,2,6500,OMNI,,45,0.4,1,,,250,300,2000,600,15,40,6,480000,2,15,720,0.25,30,45,,,,,,,"HIDE_IN_CODEX, CARRIER, COMBAT, NO_AUTO_ESCORT","no_autofit, no_drop, no_bp_drop, no_dealer",,0.75,2,4,,502
Onslaught (LP),swp_boss_onslaught_luddic_path,Mod-Battleship,Unique Luddic Path,burndrive,30,22000,1900,17000,17500,700,360,,25,10,10,4,4,3500,FRONT,,180,0.4,1,,,500,1250,300,400,15,27,7,720000,3,12,720,0.25,45,67,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.4,2,4,,500
Ares,swp_boss_onslaught,Mod-Battleship,Unique Low Tech,swp_boss_aresdrive,32,25000,2250,25000,20000,800,370,,35,20,20,6,6,4000,OMNI,,180,0.4,1,,,500,750,250,400,15,27,7,800000,3,12,720,0.25,50,75,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.4,2,4,,500
Nike,swp_boss_conquest,Mod-Battlecruiser,Unique Midline,swp_boss_nikejets,30,17500,1500,30000,35000,1400,350,,50,30,20,8,6,3000,OMNI,,90,0.4,1.4,,,400,500,300,350,10,35,8,835000,3,15,720,0.25,50,78,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.5,2,4,,503
Zeus,swp_boss_paragon,Mod-Battleship,Unique High Tech,swp_boss_zeusshield,35,20000,1600,30000,37500,1500,385,,35,20,15,6,8,3750,OMNI,,360,0.4,0.6,,,600,750,200,300,10,30,7,1050000,4,20,720,0.25,65,97,,,,,,,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, no_dealer",,0.6,2,4,,504
,swp_boss_sporeship,Domain-era Sporeship,Unique Explorarium,swp_victoryjets,150,82500,1500,15000,17500,700,0,,20,4,3,0.5,1.5,6850,NONE,,0,0,0,,,0,0,20000,50000,30,1667,5,1200000,10,10,,,150,225,,,,,,,"SHIP_WITH_MODULES, UNBOARDABLE, HIDE_IN_CODEX","no_autofit, no_drop, no_bp_drop, restricted, no_dealer",,0,,,,412
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,swp_boss_sporeship_bl,"Engine Section, Left",,flarelauncher,1,10000,800,3500,3333,200,70,,0,0,0,10,10,850,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted",,1,2,4,,2100
,swp_boss_sporeship_br,"Engine Section, Right",,flarelauncher,1,9500,800,3500,3333,200,75,1,0,0,0,10,10,800,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted",,1,2,4,,2100
,swp_boss_sporeship_ll,"Autofactory Section, Left",,forgevats_station,1,8500,1000,2500,2500,150,60,1,0,0,0,10,10,700,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted",,1,2,4,,2100
,swp_boss_sporeship_lr,"Autofactory Section, Right",,forgevats_station,1,9000,1000,4500,4167,250,80,,0,0,0,10,10,750,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted",,1,2,4,,2100
,swp_boss_sporeship_ml,"Magazine Section, Left",,fastmissileracks,1,7500,1200,2000,1667,100,100,,0,0,0,10,10,650,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted",,1,2,3,,2100
,swp_boss_sporeship_mr,"Magazine Section, Right",,ammofeed,1,5500,1200,4000,5000,300,70,,0,0,0,10,10,450,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted",,1,2,2,,2100
,swp_boss_sporeship_top,Command Core Section,,highenergyfocus,1,19500,1000,30000,20000,1000,100,,0,0,0,10,10,1600,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted",,1,4,7,,2100
